"Sample Name"	"Protocol REF"	"Assay Name"	"Protocol REF"	"Parameter Value[flow cytometry instrument]"	"Parameter Value[optical path]"	"Parameter Value[detector voltage]"	"Unit REF"	"Image File"	"Raw Data File"	"Protocol REF"	"Data Transformation Name"	"Derived Data File"
""	""	"data collection"	""	"labeling"	"gating"	""	""	""	""	""	""	""
""	""	"data collection"	""	"labeling"	"gating"	""	""	""	""	""	""	""
""	""	"data collection"	""	"labeling"	"gating"	""	""	""	""	""	""	""
""	""	"data collection"	""	"labeling"	"gating"	""	""	""	""	""	""	""
""	""	"data collection"	""	"labeling"	"gating"	""	""	""	""	""	""	""
""	""	"data collection"	""	"labeling"	"gating"	""	""	""	""	""	""	""
""	""	"data collection"	""	"labeling"	"gating"	""	""	""	""	""	""	""
""	""	"data collection"	""	"labeling"	"gating"	""	""	""	""	""	""	""
""	""	"data collection"	""	"labeling"	"gating"	""	""	""	""	""	""	""
""	""	"data collection"	""	"labeling"	"gating"	""	""	""	""	""	""	""
""	""	"data collection"	""	"labeling"	"gating"	""	""	""	""	""	""	""
""	""	"data collection"	""	"labeling"	"gating"	""	""	""	""	""	""	""
""	""	"data collection"	""	"labeling"	"gating"	""	""	""	""	""	""	""
""	""	"data collection"	""	"labeling"	"gating"	""	""	""	""	""	""	""
""	""	"data collection"	""	"labeling"	"gating"	""	""	""	""	""	""	""
""	""	"data collection"	""	"labeling"	"gating"	""	""	""	""	""	""	""
""	""	"data collection"	""	"labeling"	"gating"	""	""	""	""	""	""	""
""	""	"data collection"	""	"labeling"	"gating"	""	""	""	""	""	""	""
""	""	"data collection"	""	"labeling"	"gating"	""	""	""	""	""	""	""
""	""	"data collection"	""	"labeling"	"gating"	""	""	""	""	""	""	""
